"","utm_x","utm_y","Station"
"1",693961,2009932,"C1T2P1"
"2",693553,2009643,"C1T2P11"
"3",693144,2009355,"C1T2P21"
"4",693673,2010340,"C1T4P1"
"5",693264,2010052,"C1T4P11"
"6",692856,2009763,"C1T4P21"
"7",693384,2010748,"C1T6P1"
"8",692976,2010460,"C1T6P11"
"9",692567,2010171,"C1T6P21"
"10",691248,2010115,"C2T1P1"
"11",691548,2009715,"C2T1P11"
"12",691849,2009315,"C2T1P21"
"13",690783,2009920,"C2T2P1"
"14",691084,2009520,"C2T2P11"
"15",691384,2009121,"C2T2P21"
"16",690311,2009723,"C2T3P1"
"17",690612,2009323,"C2T3P11"
"18",690912,2008923,"C2T3P21"
"19",691396,2007831,"C3T0P1"
"20",691697,2007431,"C3T0P11"
"21",691997,2007031,"C3T0P21"
"22",691867,2008028,"C3T1P1"
"23",692168,2007628,"C3T1P11"
"24",692468,2007229,"C3T1P21"
"25",692333,2008223,"C3T3P1"
"26",692633,2007823,"C3T3P11"
"27",692934,2007423,"C3T3P21"
"28",695125,2009976,"C4T1P1"
"29",694717,2009688,"C4T1P11"
"30",694308,2009399,"C4T1P21"
"31",695414,2009568,"C4T2P1"
"32",695005,2009280,"C4T2P11"
"33",694597,2008991,"C4T2P21"
"34",695702,2009160,"C4T3P1"
"35",695294,2008871,"C4T3P11"
"36",694885,2008583,"C4T3P21"
"37",690737,2006371,"C5T1P1"
"38",690234,2006350,"C5T1P11"
"39",689737,2006329,"C5T1P21"
"40",690781,2005872,"C5T2P1"
"41",690276,2005852,"C5T2P11"
"42",689785,2005827,"C5T2P21"
"43",690826,2005375,"C5T3P1"
"44",690322,2005357,"C5T3P11"
"45",689829,2005339,"C5T3P21"
"46",695723,2007722,"C6T1P1"
"47",695315,2007424,"C6T1P11"
"48",694906,2007145,"C6T1P21"
"49",696012,2007314,"C6T2P1"
"50",695603,2007026,"C6T2P11"
"51",695195,2006737,"C6T2P21"
"52",696300,2006906,"C6T3P1"
"53",695892,2006617,"C6T3P11"
"54",695483,2006329,"C6T3P21"
"55",690208,2007495,"CB18P10"
"56",694249,2010999,"CB18P11"
"57",689557,2004377,"CB18P12"
"58",693677,2008438,"CB18P13"
"59",694097,2007477,"CB18P14"
"60",693883,2006474,"CB18P15"
"61",691499,2006677,"CB18P26"
"62",691591,2005687,"CB18P27"
"63",692499,2006719,"CB18P28"
"64",692588,2005723,"CB18P29"
"65",695790,2008315,"CB18P30"
"66",696367,2007499,"CB18P32"
"67",689821,2008533,"CB18P9"
